=== Super Minds 0 ===
[Unit 0]
blue | màu xanh dương 🔵
microlight | máy bay siêu nhẹ ✈️
wind turbine | tua bin gió 💨
cable car | cáp treo 🚠
jet pack | ba lô phản lực 🚀
surfboard | ván lướt sóng 🏄‍♂️
inline skates | giày trượt pa-tin (bánh dọc) 🛼
unicycle | xe đạp một bánh 🚲
future | tương lai 🔮
transport | giao thông / vận tải 🚗
pollute | gây ô nhiễm ☁️
driverless | không người lái 🤖

[Unit 3]
Sphinx | tượng Nhân sư 🗿
pharaoh | pharaoh / vua Ai Cập cổ 👑
pyramid | kim tự tháp 🗿
chariot | xe chiến mã 🐎
hieroglyphics | chữ tượng hình 🔤
mummy | xác ướp ⚰️
tomb | lăng mộ ⚰️
Egypt | Ai Cập 🇪🇬
slaves | nô lệ 🔗
archaeologist | nhà khảo cổ học 🧭
mystery | bí ẩn 🕵️
UFO | vật thể bay không xác định 🛸
restore | phục hồi / trùng tu 🏛️
civilisation | nền văn minh 🏛️
BC | trước Công nguyên ⏳

[Unit 4]
Olympics | Thế vận hội 🏅
long jump | nhảy xa 🦘
hurdles | chạy vượt rào 🏃‍♂️
high jump | nhảy cao 🦘
boxing | quyền anh 🥊
archery | bắn cung 🏹
wrestling | đấu vật 🤼‍♂️
weightlifting | cử tạ 🏋️‍♂️
rowing | chèo thuyền 🚣‍♂️
gymnastics | thể dục dụng cụ 🤸‍♂️
fencing | đấu kiếm 🤺
athlete | vận động viên 🏃‍♂️
compete | thi đấu 🏆
stadium | sân vận động 🏟️
medal | huy chương 🏅

[Unit 5]
carpenter's | xưởng mộc 🪚
jeweller's | tiệm kim hoàn 💎
butcher's | cửa hàng thịt 🥩
grocer's | cửa hàng tạp hóa 🛒
baker's | tiệm bánh mì 🍞
barber's | tiệm cắt tóc (nam) 💇‍♂️
tailor's | tiệm may 👕
chemist's | hiệu thuốc 💊
London | Luân Đôn 🇬🇧
shop | cửa hàng 🛍️
stunt | pha mạo hiểm / đóng thế 🤸‍♂️
rescue | giải cứu 🚑
square | quảng trường 🏛️
pop | nhạc pop / tiếng nổ bốp 🎵
market | chợ 🛍️

[Unit 6]
screwdriver | tua vít 🔩
hammer | cái búa 🔨
drill | máy khoan 🛠️
saw | cái cưa 🪚
lever | đòn bẩy 🛠️
spanner | cờ lê 🔧
paintbrush | cọ sơn 🖌️
button | cái nút / khuy áo 🧥
switch | công tắc 🔌
nails | cái đinh 🔩
inventor | nhà phát minh 🧪
invent | phát minh 💡
invention | phát minh / sáng chế 💡
tool | dụng cụ 🛠️
machine | máy móc ⚙️

[Unit 7]
countdown clock | đồng hồ đếm ngược ⏰
lunar module | mô-đun mặt trăng (tàu đổ bộ) 🚀
space capsule | khoang tàu vũ tr 🚀
spacesuit | bộ đồ phi hành gia 👨🚀
launch pad | bệ phóng 🚀
crater | miệng núi lửa / hố va chạm 🌑
control panel | bảng điều khiển 🎛️
headset | tai nghe (kèm mic) 🎧
screen | màn hình 📺
moon | mặt trăng 🌙
astronaut | phi hành gia 👨🚀
mission | nhiệm vụ / sứ mệnh 🎯
space | vũ trụ / không gian 🌌
NASA | cơ quan hàng không vũ trụ Mỹ 🚀
Houston | trung tâm điều khiển (thành phố Houston) 🛰️

[Unit 8]
Northern Lights | Bắc cực quang 🌌
iceberg | tảng băng trôi 🧊
polar bear | gấu bắc cực 🐻❄️
ice floe | tảng băng nổi 🧊
seal | hải cẩu 🦭
igloo | lều tuyết 🛖
mittens | găng tay hở ngón (găng tay len) 🧤
sledge | xe trượt tuyết 🛷
Arctic | Bắc cực 🧊
North Pole | Cực Bắc 🧭
freezing | đóng băng / lạnh cóng 🥶
aurora borealis | bắc cực quang (tên khoa học) 🌌
cold | lạnh ❄️
snow | tuyết ❄️
ice | băng 🧊

[Unit 9]
sunrise | bình minh 🌅
horizon | đường chân trời 🌅
pond | cái ao 💧
grassland | đồng cỏ 🌾
valley | thung lũng 🏞️
bush | bụi cây 🌿
stream | dòng suối 💧
swamp | đầm lầy 🌊
dinosaur | khủng long 🦖
Jurassic | kỷ Jura 🦕
T-rex | khủng long bạo chúa 🦖
triceratops | khủng long ba sừng 🦕
meadow | đồng cỏ (thường có hoa) 🌼
nature | thiên nhiên 🌳
extinct | tuyệt chủng 🪦

=== Open world A2 ===
[Starter Unit: Who I am]
Nationality | Quốc tịch 🇺🇳
Relative | Họ hàng 👨‍👩‍👧‍👦
Grandparent | Ông bà 👵👴
Nephew | Cháu trai (con của anh/chị/em) 👦
Niece | Cháu gái (con của anh/chị/em) 👧
Cousin | Anh chị em họ 👫
Surname | Họ 📝
Identity card | Chứng minh nhân dân/Thẻ căn cước 🪪
Passport | Hộ chiếu 📘
Address | Địa chỉ 🏠

[Unit 1: A busy life]
Spend time alone | Dành thời gian một mình 🧘
Go shopping | Đi mua sắm 🛍️
Relax at home | Thư giãn tại nhà 🛋️
Mechanic | Thợ máy 🔧
Photographer | Nhiếp ảnh gia 📸
Pilot | Phi công ✈️
Police officer | Cảnh sát 👮
Waitress | Nữ bồi bàn 👩‍🍳
Uniform | Đồng phục 👔
Get dressed | Mặc quần áo 👕
Wake up | Thức dậy ⏰
Leave the house | Rời khỏi nhà 🚪

[Unit 2: Changing world]
Autumn | Mùa thu 🍂
Spring | Mùa xuân 🌸
Summer | Mùa hè ☀️
Winter | Mùa đông ❄️
Cloudy | Nhiều mây ☁️
Foggy | Có sương mù 🌫️
Freezing | Rất lạnh/đông cứng 🥶
Stormy | Có bão ⛈️
Temperature | Nhiệt độ 🌡️
Mountain | Núi ⛰️
Waterfall | Thác nước 🌊
Coast | Bờ biển 🏖️

[Unit 3: Free time, screen time?]
Social media | Mạng xã hội 📱
Video games | Trò chơi điện tử 🎮
Download | Tải xuống ⬇️
Stream | Phát trực tuyến 📺
Science fiction | Khoa học viễn tưởng 🚀
Horror | Phim kinh dị 👻
Comedy | Phim hài 😂
Documentary | Phim tài liệu 🎬
Blogger | Người viết blog ✍️
Episode | Tập (phim) 📺
Series | Phim bộ 🎞️
Competition | Cuộc thi 🏆

[Unit 4: Keep fit, feel good]
Heart | Trái tim ❤️
Stomach | Dạ dày 🤰
Brain | Não bộ 🧠
Headache | Đau đầu 🤕
Toothache | Đau răng 🦷
Backache | Đau lưng 🧍
Sore throat | Đau họng 🗣️
Painkillers | Thuốc giảm đau 💊
Prescription | Đơn thuốc 📝
Ambulance | Xe cứu thương 🚑
Appointment | Cuộc hẹn (với bác sĩ) 📅

[Unit 5: More than a holiday]
Destination | Điểm đến 🗺️
Accommodation | Chỗ ở 🏨
Tour guide | Hướng dẫn viên du lịch 🧭
Luggage | Hành lý 🧳
Suitcase | Vali 🧳
Backpack | Ba lô 🎒
Delay | Trì hoãn ⏳
Sightseeing | Tham quan 🏛️
Hop-on / hop-off bus | Xe buýt du lịch lên xuống tự do 🚌
Discount | Giảm giá 💰
Souvenir | Quà lưu niệm 🎁

[Unit 6: Time for food]
Omelette | Trứng cuộn 🍳
Cereal | Ngũ cốc 🥣
Yoghurt | Sữa chua 🥛
Chilli | Ớt 🌶️
Curry | Cà ri 🍛
Peel | Gọt vỏ 🍌
Chop | Băm/thái nhỏ 🔪
Fry | Chiên/rán 🍳
Grill | Nướng (bằng vỉ) 🥓
Steam | Hấp 🥘
Table service | Phục vụ tại bàn 🍽️
Generous portion | Khẩu phần ăn hậu hĩnh 🍗

[Unit 7: Live life!]
Baking | Nướng bánh 🍰
Gig | Buổi biểu diễn âm nhạc 🎤
Photography | Nhiếp ảnh 📸
Audience | Khán giả 👥
Rehearsal | Buổi tổng duyệt 🎭
Costume | Trang phục biểu diễn 👗
Stage | Sân khấu 🎪
Songwriter | Người sáng tác bài hát 🎵
Guitarist | Người chơi ghi-ta 🎸
Drummer | Người chơi trống 🥁
Leaflet | Tờ rơi 📄
Festival | Lễ hội 🎉

[Unit 8: Feels like home]
Cottage | Nhà tranh/nhà nhỏ ở nông thôn 🏡
Houseboat | Nhà thuyền 🛶
Villa | Biệt thự 🏰
Balcony | Ban công 🌿
Basement | Tầng hầm 🏚️
Garage | Nhà để xe 🚗
Rent | Thuê/Tiền thuê nhà 💰
Neighbour | Hàng xóm 👨‍👩‍👧‍👦
Sink | Bồn rửa 🚰
Cooker | Bếp nấu 🍳
Fridge | Tủ lạnh 🧊
Cupboard | Tủ chạn/tủ chén 🗄️

[Unit 9: Getting along]
Confident | Tự tin 💪
Shy | Nhút nhát 😳
Reliable | Đáng tin cậy 🤝
Generous | Rộng lượng 🤲
Worried | Lo lắng 😟
Stressed | Căng thẳng 😫
Bad mood | Tâm trạng tồi tệ 😠
Argue | Tranh cãi 🗣️
Get on well | Hòa thuận với nhau ☺️
Enroll | Đăng ký học 📝
Volunteer work | Công việc tình nguyện 🤝

[Unit 10: Out and about]
Statue | Bức tượng 🗿
Fountain | Đài phun nước ⛲
Stadium | Sân vận động 🏟️
Castle | Lâu đài 🏰
Roundabout | Vòng xuyến 🚦
Crossing | Vạch sang đường 🚶‍♂️
Traffic lights | Đèn giao thông 🚥
Pedestrian | Người đi bộ 🚶
Pavement | Vỉa hè 🛣️
Skyscraper | Tòa nhà chọc trời 🏙️
Square | Quảng trường 🏛️

[Unit 11: Saving and spending]
Salary | Tiền lương 💵
Discount | Chiết khấu/Giảm giá 💰
Receipt | Hóa đơn/Biên lai 🧾
Bill | Hóa đơn thanh toán 💸
Earn | Kiếm tiền 💼
Borrow | Mượn 🤲
Waste | Lãng phí 🗑️
Changing room | Phòng thay đồ 🛋️
Shop assistant | Nhân viên bán hàng 💁
Cash | Tiền mặt 💵
Credit card | Thẻ tín dụng 💳
Currency | Tiền tệ 💱

[Unit 12: Through life]
Biology | Sinh học 🧬
Chemistry | Hóa học 🧪
Physics | Vật lý ⚛️
Experiment | Thí nghiệm 🔬
Essay | Bài tiểu luận 📝
Degree | Bằng cấp (Đại học) 🎓
Qualification | Bằng cấp/Chứng chỉ 📜
Diploma | Bằng cấp 📄
CV (Curriculum Vitae) | Sơ yếu lý lịch 📄
Boss | Sếp/Chủ 👨‍💼
Staff | Nhân viên 👥

[Unit 13: About me]
Sociable | Hòa đồng 😊
Kind | Tử tế 🤗
Brilliant | Rất thông minh/tài giỏi 🌟
Clever | Thông minh 🧠
Lazy | Lười biếng 😴
Serious | Nghiêm túc 🧐
Handbag | Túi xách 👜
Jewellery | Đồ trang sức 💎
Sandals | Dép xăng đan 👡
Tie | Cà vạt 👔
Trainers | Giày thể thao 👟
Fashionable | Hợp thời trang 👗

[Unit 14: Play it, watch it, love it]
Athletics | Điền kinh 🏃‍♂️
Rugby | Bóng bầu dục 🏉
Net | Lưới 🕸️
Racket | Vợt 🎾
Goal | Khung thành/Bàn thắng ⚽
Match | Trận đấu 🤼
Pitch | Sân cỏ (bóng đá) ⚽
Referee | Trọng tài 👨‍⚖️
Tournament | Giải đấu 🏆
Afterwards | Sau đó ⏭️
Surprisingly | Đáng ngạc nhiên 😲
Luckily | May mắn thay 🍀
